repo_name,L1_hit,L2_hit
UKGovernmentBEIS/inspect_evals,True,True
UZDoom/UZDoom,True,True
Vector-Wangel/XLeRobot,False,True
VeriTeknik/pluggedin-app,False,True
VibiumDev/vibium,True,False
Voyz/ibind,True,True
WordPress/ai,False,True
WordPress/php-ai-client,False,True
WordPress/wp-ai-client,False,True
Wouter0100/homeassistant-nanokvm,True,True
YaLTeR/niri,True,False
YarnSpinnerTool/YarnSpinner-Godot,False,True
YimMenu/YimMenuV2,True,False
YosemiteCrew/Yosemite-Crew,False,True
aayushraj1010/med-genie,True,True
abhigyanpatwari/GitNexus,True,False
abhisek2004/Dev-Elevate,True,False
aboutcode-org/dejacode,False,True
abstractqqq/polars_ds_extension,True,True
abusoww/tuxmate,True,False
ace-step/ACE-Step-1.5,True,False
activist-org/activist,True,True
acunniffe/git-ai,True,True
adil192/saber,True,True
adithya-s-k/World-of-AI,True,True
adityachandelgit/BookLore,True,True
adityas1309/RaktConnect,True,False
adobe/helix-website,True,False
ag2ai/ag2,False,True
ag2ai/faststream,False,True
agentjido/jido_ai,False,True
agglayer/agglayer,False,True
agi-merge/waggle-dance,False,True
agilerl/agilerl,False,True
agno-agi/agno,True,True
agnostiqhq/covalent,False,True
ai-dynamo/dynamo,False,True
ai-shifu/ai-shifu,False,True
aibtcdev/ai-agent-crew,False,True
airtai/faststream,False,True
akash-network/cloudmos,True,True
akash-network/console,True,True
aklivity/zilla,True,False
alan-turing-institute/autoemulate,True,True
albumentations-team/AlbumentationsX,False,True
alexanderwanyoike/the0,True,True
alextran1502/immich,True,False
alfaArghya/alfa-leetcode-api,False,True
alibaba/OpenSandbox,False,True
alibaba/page-agent,True,False
alibaba/spring-ai-alibaba,False,True
alipay/fury,True,True
alpenlabs/alpen,True,True
alphanome-ai/sec-parser,False,True
als-apg/osprey,True,True
altcha-org/altcha,True,False
alumnium-hq/alumnium,True,False
always-further/deepfabric,False,True
amachino/qubex,True,True
amaiya/onprem,False,True
amd/gaia,False,True
amsterdam/design-system,True,False
andrewgazelka/hyperion,True,True
anomalyco/opencode,True,True
ansible-collections/community.clickhouse,True,True
ansible/terraform-provider-aap,True,True
antiwork/gumroad,False,True
antoniorodr/Cronboard,True,True
anza-xyz/kit,True,True
anza-xyz/solana-web3.js,True,True
apache/fory,True,True
apache/fury,True,True
apache/incubator-fury,True,True
apache/polaris,True,True
