repo_name,conditions
hynek/svcs,"human_review,follow_ai_rules"
hyzyla/pdfium,"human_review,supplement_prompts_tests"
iai-callgrind/iai-callgrind,"explicit_declaration,human_review"
iam-py-test/my_filters_001,
idiap/sdialog,human_review
ieedan/jsrepo,"explicit_declaration,human_review"
inclusionAI/AReaL,human_review
Inferara/inference,"explicit_declaration,human_review"
instructor-ai/instructor,
IntegerAlex/hasty-server,limited_scope
intel/compile-time-init-build,no_declaration
intel/cpp-baremetal-senders-and-receivers,no_declaration
intel/safe-arithmetic,no_declaration
InterceptSuite/ProxyBridge,"human_review,meet_quality"
isbeorn/nina,human_review
jakestanger/ironbar,human_review
jaysmito101/cgl,limited_scope
jerryjliu/llama_index,
jlowin/fastmcp,"human_review,follow_ai_rules"
joaomdmoura/crewAI,explicit_declaration
jokob-sk/NetAlertX,"human_review,meet_quality"
jorenn92/maintainerr,human_review
jovian-experiments/jovian-nixos,
jozu-ai/kitops,"human_review,supplement_prompts_tests"
jsrepojs/jsrepo,"explicit_declaration,human_review"
jxnl/instructor,
jxnl/openai_function_call,
kaito-project/kubeairunway,
kcenon/claude_code_agent,no_declaration
KempnerInstitute/kempner-computing-handbook,human_review
kesslerio/attio-mcp-server,"explicit_declaration,human_review,supplement_prompts_tests"
kgateway-dev/community,follow_ai_rules
Kieirra/murmure,"human_review,meet_quality"
kite-org/kite,human_review
kitops-ml/kitops,"human_review,supplement_prompts_tests"
kmesh-net/kmesh,"explicit_declaration,human_review"
konflux-ci/build-definitions,"explicit_declaration,human_review"
kornia/kornia-rs,"explicit_declaration,human_review,supplement_prompts_tests"
Kotlin/kotlinx-rpc,"explicit_declaration,human_review,supplement_prompts_tests"
kubernetes-sigs/agent-sandbox,human_review
kubeshop/testkube,"human_review,follow_ai_rules"
kubestellar/docs,"human_review,meet_quality"
kubestellar/ui,"human_review,meet_quality"
kubetail-org/kubetail,"human_review,follow_ai_rules"
kyu08/fzf-make,human_review
LadybirdBrowser/ladybird,"human_review,meet_quality"
LadybirdWebBrowser/ladybird,"human_review,meet_quality"
LeeMangold/OpenGRC,human_review
letta-ai/letta,"explicit_declaration,human_review,follow_ai_rules"
Letterbook/Letterbook,"human_review,meet_quality"
lightningdevkit/ldk-server,"explicit_declaration,human_review"
lightspeed-core/lightspeed-stack,"explicit_declaration,human_review"
lingarr-translate/lingarr,"human_review,meet_quality"
linkml/linkml,follow_ai_rules
linuxfoundation/crowd.dev,"human_review,follow_ai_rules"
llama-farm/llamafarm,human_review
longbridge/gpui-component,"human_review,meet_quality,follow_project_style"
longbridgeapp/gpui-component,"human_review,meet_quality,follow_project_style"
Lramseyer/vaporview,human_review
lrstanley/bubblezone,human_review
lrstanley/go-ytdlp,human_review
m3sserstudi0s/swiparr,human_review
Maintainerr/Maintainerr,human_review
manyfold3d/manyfold,"explicit_declaration,human_review"
markbeep/AudioBookRequest,human_review
matter-labs/foundry-zksync,"explicit_declaration,human_review"
mayocream/koharu,human_review
mcmonkeyprojects/SwarmUI,human_review
meilisearch/firestore-meilisearch,"explicit_declaration,human_review"
meilisearch/meilisearch-rails,"explicit_declaration,human_review"
meilisearch/mini-dashboard,"explicit_declaration,human_review"
meilisearch/strapi-plugin-meilisearch,"explicit_declaration,human_review"
meltano/meltano,follow_ai_rules
memorysafety/ntpd-rs,"limited_scope,human_review"
memorysafety/sudo-rs,"limited_scope,human_review"
microsoft/simplechat,follow_ai_rules
MillenniumDawn/Millennium-Dawn,"human_review,limited_scope"
mitsuhiko/minijinja,"explicit_declaration,human_review"
modelcontextprotocol/modelcontextprotocol,"explicit_declaration,human_review"
modelcontextprotocol/specification,"explicit_declaration,human_review"
modular/max,follow_ai_rules
modularml/mojo,follow_ai_rules
moff-station/moff-station-14,"no_declaration,limited_scope"
motion-canvas/motion-canvas,human_review
MrJoiny/Idleon-Injector,"human_review,meet_quality"
mrkai77/loop,"explicit_declaration,human_review,follow_ai_rules"
Mrmayman/quantumlauncher,human_review
mudler/LocalAI,
mustbeperfect/definitive-opensource,human_review
MystenLabs/walrus,"human_review,supplement_prompts_tests"
n00bcodr/Jellyfin-Enhanced,human_review
Nagi-ovo/gemini-voyager,"human_review,supplement_prompts_tests"
NeptuneHub/AudioMuse-AI,
netalertx/NetAlertX,"human_review,meet_quality"
new-frontiers-14/frontier-station-14,"human_review,limited_scope"
nhost/nhost,"human_review,explicit_declaration"
nightscout/Trio,"human_review,limited_scope"
Nimble-Co/FoundryVTT-Nimble,human_review
niri-wm/niri,human_review
nix-community/nh,human_review
noble-lab/casanovo,human_review
nook-browser/Nook,"explicit_declaration,human_review"
obi1kenobi/cargo-semver-check,"human_review,meet_quality"
obi1kenobi/cargo-semver-checks,"human_review,meet_quality"
ofkm/arcane,follow_ai_rules
olimorris/codecompanion.nvim,"human_review,supplement_prompts_tests"
onthegomap/flatmap,"explicit_declaration,human_review"
onthegomap/planetiler,"explicit_declaration,human_review"
Open-Superintelligence-Lab/blueberry-llm,human_review
open-telemetry/opentelemetry-ebpf-instrumentation,human_review
open-telemetry/opentelemetry-go-compile-instrumentation,"human_review,follow_ai_rules"
openbao/openbao,no_declaration
openbao/openbao-helm,no_declaration
openclaw/openclaw,"explicit_declaration,human_review,supplement_prompts_tests"
OpenDevicePartnership/patina,"human_review,meet_quality"
OpenDevicePartnership/patina-qemu,"human_review,meet_quality"
openvinotoolkit/openvino.genai,follow_ai_rules
OpenZeppelin/stellar-contracts,"human_review,meet_quality"
ory/elements,"explicit_declaration,human_review"
ory/kratos-selfservice-ui-react-nextjs,"explicit_declaration,human_review"
ory/polis,"explicit_declaration,human_review"
oss-apps/split-pro,"explicit_declaration,human_review"
OWASP/OpenCRE,human_review
oxc-project/oxc,"explicit_declaration,human_review"
ozontech/seq-db,"explicit_declaration,human_review"
p2plabsxyz/peersky-browser,human_review
Papela/Nitrox-Cracked-Mod,human_review
paperless-ngx/paperless-ngx,"explicit_declaration,human_review"
patrickchugh/terravision,"explicit_declaration,human_review"
payjoin/rust-payjoin,"explicit_declaration,human_review"
pelican-dev/plugins,"explicit_declaration,human_review"
pendulum-project/ntpd-rs,"limited_scope,human_review"
pgexporter/pgexporter,follow_ai_rules
pgmoneta/pgmoneta,follow_ai_rules
phalt/clientele,human_review
pierrecomputer/pierre,"explicit_declaration,human_review"
pixeltable/pixeltable,human_review
pkgforge/soar,human_review
platformatic/kafka,human_review
platformatic/massimo,human_review
platformatic/platformatic,human_review
polaris-catalog/polaris,"explicit_declaration,human_review,follow_ai_rules"
polarsource/polar,"human_review,supplement_prompts_tests"
pollen-robotics/reachy_mini_conversation_app,"human_review,explicit_declaration,meet_quality"
pragma-org/amaru,human_review
PrefectHQ/fastmcp,"human_review,follow_ai_rules"
presenton/presenton,"explicit_declaration,human_review"
Priivacy-ai/spec-kitty,
prismlauncher/prismlauncher,"human_review,dco"
project-fika/Fika-Plugin,limited_scope
Project-HAMi/HAMi,"explicit_declaration,human_review"
project-tirtha/tirtha-public,"explicit_declaration,human_review"
PumasAI/QuartoNotebookRunner.jl,"human_review,meet_quality"
pygame-community/pygame-ce,"explicit_declaration,human_review"
pygfx/rendercanvas,"explicit_declaration,human_review"
python-wheel-build/fromager,follow_ai_rules
Qiskit/qiskit-code-assistant-jupyterlab,follow_ai_rules
quarkiverse/quarkus-flow,human_review
Quozul/PicoLimbo,"explicit_declaration,human_review"
qvr/nonraid,human_review
RackulaLives/Rackula,"explicit_declaration,human_review"
ratatui-org/ratatui,"human_review,explicit_declaration"
ratatui/ratatui,"human_review,explicit_declaration"
redwoodjs/sdk,"human_review,supplement_prompts_tests"
reflex-dev/reflex,"human_review,supplement_prompts_tests"
Regyl/yagfi-back,human_review
repplus/rep,human_review
repplus/rep-chrome,human_review
reubeno/brush,"explicit_declaration,human_review"
rommapp/romm,"explicit_declaration,human_review"
rpm-rs/rpm,"explicit_declaration,human_review,follow_ai_rules"
rpm-software-management/dnf5,"explicit_declaration,human_review,follow_ai_rules"
run-llama/llama_index,
rustcoreutils/posixutils-rs,human_review
S4tvara/Sietch,"explicit_declaration,human_review"
saber-notes/saber,no_declaration
SakanaAI/ShinkaEvolve,human_review
samtupy/nvgt,"human_review,limited_scope"
samui-build/samui-wallet,human_review
sanders41/meilisearch-python-sdk,"no_declaration,human_review"
sanity-io/locales,
santanu-atta03/Intervyo,human_review
SAP-samples/ui5-typescript-walkthrough,follow_ai_rules
sap/abap-cleaner,follow_ai_rules
SAP/ai-sdk-java,follow_ai_rules
SAP/ai-sdk-js,follow_ai_rules
SAP/app-studio-toolkit,follow_ai_rules
SAP/architecture-center,follow_ai_rules
sap/btp-environment-variable-access,follow_ai_rules
SAP/btp-solution-diagrams,follow_ai_rules
SAP/cloud-active-defense,follow_ai_rules
SAP/cloud-sdk-java,follow_ai_rules
SAP/crossplane-provider-btp,follow_ai_rules
SAP/e-mobility-charging-stations-simulator,follow_ai_rules
SAP/gigya-react-native-plugin-for-sap-customer-data-cloud,follow_ai_rules
sap/neonbee,follow_ai_rules
sap/open-ux-odata,follow_ai_rules
sap/open-ux-tools,follow_ai_rules
sap/terraform-provider-btp,follow_ai_rules
sarensw/MacPacker,limited_scope
schell/renderling,"explicit_declaration,human_review"
SchoolyB/EZ,human_review
Scottcjn/Rustchain,human_review
scribe-org/scribe-android,human_review
scribe-org/Scribe-Data,human_review
scribe-org/Scribe-Desktop,human_review
scribe-org/scribe-ios,human_review
seanjameshan/starknet.js,"human_review,meet_quality"
seanmorley15/AdventureLog,"human_review,meet_quality"
seerr-team/seerr,"human_review,explicit_declaration"
serial-ata/lofty-rs,human_review
serverpod/serverpod,human_review
ShadowBlip/InputPlumber,"explicit_declaration,human_review"
Sharkord/sharkord,"explicit_declaration,human_review"
SharonIV0x86/CinderPeak,"human_review,meet_quality"
shcherbak-ai/contextgem,"human_review,follow_ai_rules"
SillyTavern/SillyTavern,human_review
simdutf/simdutf,follow_ai_rules
skodaconnect/homeassistant-myskoda,human_review
skodaconnect/myskoda,human_review
slatedb/slatedb,"explicit_declaration,human_review"
slimevr/slimevr-server,"no_declaration,limited_scope"
smlab-niser/tirtha-public,"explicit_declaration,human_review"
SnapXL/SnapX,"human_review,limited_scope"
sonofmagic/tailwindcss-mangle,human_review
sozercan/kaset,"explicit_declaration,human_review"
spdx/ntia-conformance-checker,human_review
spegel-org/spegel,"human_review,explicit_declaration"
spiraldb/vortex,"explicit_declaration,human_review"
stack-auth/stack,human_review
stack-auth/stack-auth,human_review
stacklok/toolhive,human_review
StacklokLabs/toolhive,human_review
stan-smith/FossFLOW,human_review
stanfrbd/cyberbro,"human_review,meet_quality"
starknet-io/starknet.js,"human_review,meet_quality"
steipete/clawdis,"explicit_declaration,human_review"
Story-Of-Alicia/alicia-server,human_review
streamyfin/streamyfin,explicit_declaration
StrikerX3/Ymir,"explicit_declaration,human_review"
SubstantialCattle5/Sietch,"explicit_declaration,human_review"
suitenumerique/docs,
supabase-community/supabase-kt,human_review
sustainable-computing-io/kepler,follow_ai_rules
sylabs/singularity,"explicit_declaration,human_review"
synthetic-lab/octofriend,human_review
tamboui/tamboui,human_review
tauri-apps/plugins-workspace,follow_ai_rules
teamtype/teamtype,"explicit_declaration,human_review"
telemt/telemt,human_review
tempoxyz/tempo-foundry,"explicit_declaration,human_review"
tenstorrent-metal/tt-metal,human_review
tenstorrent/tt-metal,human_review
teorth/equational_theories,human_review
teorth/erdosproblems,
the-ora/browser,"explicit_declaration,human_review"
TheDanniCraft/activity-log,"explicit_declaration,human_review"
TheNickOfTime/handbrake-web,limited_scope
theresnotime/as-a-treat,no_declaration
tiann/hapi,follow_ai_rules
TibixDev/winboat,"explicit_declaration,human_review"
timelinize/timelinize,"explicit_declaration,human_review"
timo-reymann/bash-tui-toolkit,"explicit_declaration,human_review"
timo-reymann/intellij-mjml-support,"explicit_declaration,human_review"
tokio-rs/toasty,human_review
tootsdk/tootsdk,human_review
topgrade-rs/topgrade,limited_scope
tphakala/birdnet-go,human_review
tracel-ai/burn,"human_review,meet_quality"
trifectatechfoundation/sudo-rs,"limited_scope,human_review"
trip-zip/somewm,"explicit_declaration,human_review"
tubearchivist/tubearchivist,human_review
