repo_name,bin,prs_closed_in_bin,prohibited,time,intervention,time_after,language,stars,contributors,commits,repo_age_days,log_stars,log_contributors,log_commits,log_repo_age_days,log_prs_closed_in_bin
reubeno/brush,-6,48,0,1,0,0,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.8918202981106265
reubeno/brush,-5,55,0,2,0,0,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,4.02535169073515
reubeno/brush,-4,33,0,3,0,0,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.5263605246161616
reubeno/brush,-3,36,0,4,0,0,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.6109179126442243
reubeno/brush,-2,25,0,5,0,0,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.258096538021482
reubeno/brush,-1,20,0,6,0,0,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.044522437723423
reubeno/brush,1,69,0,8,1,1,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,4.248495242049359
reubeno/brush,2,57,0,9,1,2,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,4.060443010546419
reubeno/brush,3,42,0,10,1,3,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.7612001156935624
reubeno/brush,4,51,0,11,1,4,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.9512437185814275
reubeno/brush,5,41,0,12,1,5,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,3.7376696182833684
reubeno/brush,6,4,0,13,1,6,Rust,1254,23,962,600,7.134890851565884,3.1780538303479458,6.870053411798126,6.398594934535208,1.6094379124341003
Mrmayman/quantumlauncher,-6,1,0,1,0,0,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,0.6931471805599453
Mrmayman/quantumlauncher,-5,2,0,2,0,0,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.0986122886681096
Mrmayman/quantumlauncher,-4,3,0,3,0,0,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.3862943611198906
Mrmayman/quantumlauncher,-3,5,0,4,0,0,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.791759469228055
Mrmayman/quantumlauncher,-2,17,0,5,0,0,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,2.8903717578961645
Mrmayman/quantumlauncher,-1,3,0,6,0,0,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.3862943611198906
Mrmayman/quantumlauncher,1,6,0,8,1,1,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.9459101490553132
Mrmayman/quantumlauncher,2,18,0,9,1,2,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,2.9444389791664403
Mrmayman/quantumlauncher,3,3,0,10,1,3,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.3862943611198906
Mrmayman/quantumlauncher,4,10,0,11,1,4,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,2.3978952727983707
Mrmayman/quantumlauncher,5,6,0,12,1,5,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.9459101490553132
Mrmayman/quantumlauncher,6,4,0,13,1,6,Rust,160,8,1257,662,5.081404364984463,2.19722457733622,7.1372784372603855,6.496774990185863,1.6094379124341003
LadybirdBrowser/ladybird,-6,257,0,1,0,0,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.552959584921617
LadybirdBrowser/ladybird,-5,342,0,2,0,0,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.83773044716594
LadybirdBrowser/ladybird,-4,226,0,3,0,0,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.424950017481403
LadybirdBrowser/ladybird,-3,269,0,4,0,0,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.598421958998375
LadybirdBrowser/ladybird,-2,415,0,5,0,0,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,6.030685260261263
LadybirdBrowser/ladybird,-1,447,0,6,0,0,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,6.104793232414985
LadybirdBrowser/ladybird,1,266,0,8,1,1,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.58724865840025
LadybirdBrowser/ladybird,2,308,0,9,1,2,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.733341276897746
LadybirdBrowser/ladybird,3,328,0,10,1,3,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.796057750765372
LadybirdBrowser/ladybird,4,306,0,11,1,4,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.726847747587197
LadybirdBrowser/ladybird,5,299,0,12,1,5,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.703782474656201
LadybirdBrowser/ladybird,6,272,0,13,1,6,C++,60953,425,75729,580,11.0178747603196,6.054439346269371,11.234929662107868,6.364750756851911,5.60947179518496
quantumlib/Qualtran,-6,36,1,1,0,0,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,3.6109179126442243
quantumlib/Qualtran,-5,30,1,2,0,0,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,3.4339872044851463
quantumlib/Qualtran,-4,16,1,3,0,0,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.833213344056216
quantumlib/Qualtran,-3,10,1,4,0,0,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.3978952727983707
quantumlib/Qualtran,-2,8,1,5,0,0,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.1972245773362196
quantumlib/Qualtran,-1,21,1,6,0,0,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,3.091042453358316
quantumlib/Qualtran,1,21,1,8,1,1,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,3.091042453358316
quantumlib/Qualtran,2,9,1,9,1,2,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.302585092994046
quantumlib/Qualtran,3,10,1,10,1,3,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.3978952727983707
quantumlib/Qualtran,4,4,1,11,1,4,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,1.6094379124341003
quantumlib/Qualtran,5,14,1,12,1,5,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.70805020110221
quantumlib/Qualtran,6,12,1,13,1,6,Python,321,32,1102,1274,5.7745515455444085,3.49650756146648,7.005789019253503,7.150701457592526,2.5649493574615367
konflux-ci/build-definitions,-6,113,0,1,0,0,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.736198448394496
konflux-ci/build-definitions,-5,104,0,2,0,0,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.653960350157523
konflux-ci/build-definitions,-4,125,0,3,0,0,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.836281906951478
konflux-ci/build-definitions,-3,100,0,4,0,0,Shell,33,154,4157,1528,3.5263605246161616,5.043425116919247,8.332789468417959,7.332369205929062,4.61512051684126
