repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,prs_closed_in_bin,log_prs_closed_in_bin
chimera-linux/cports,2,144,142,0.7291666666666666,426.8195833333334,1,Python,288,129,26202,1670,7,1,2,4.976733742420574,4.962844630259907,0.5476395968887069,6.058701572443339,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,123,4.820281565605037
chimera-linux/cports,3,148,142,0.5540540540540541,328.7191412363067,1,Python,288,129,26202,1670,8,1,3,5.003946305945459,4.962844630259907,0.4408670351590802,5.798241204917514,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,118,4.77912349311153
chimera-linux/cports,4,106,94,0.4811320754716981,213.94152186761235,1,Python,288,129,26202,1670,9,1,4,4.672828834461906,4.553876891600541,0.3928067112362409,5.370365999817886,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,93,4.543294782270004
pendulum-project/ntpd-rs,-4,16,16,0.5625,268.58651041666667,0,Rust,1019,34,2957,1398,1,0,0,2.833213344056216,2.833213344056216,0.4462871026284195,5.596889342239844,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,13,2.639057329615259
pendulum-project/ntpd-rs,-3,9,9,1.6666666666666667,367.9889197530864,0,Rust,1019,34,2957,1398,2,0,0,2.302585092994046,2.302585092994046,0.9808292530117264,5.910766615820271,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,24,3.2188758248682006
pendulum-project/ntpd-rs,-2,22,22,1.0,73.6378409090909,0,Rust,1019,34,2957,1398,3,0,0,3.1354942159291497,3.1354942159291497,0.6931471805599453,4.312647629393624,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,21,3.091042453358316
pendulum-project/ntpd-rs,-1,18,17,0.8333333333333334,71.00717320261437,0,Rust,1019,34,2957,1398,4,0,0,2.9444389791664403,2.8903717578961645,0.6061358035703156,4.276765741867623,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,16,2.833213344056216
pendulum-project/ntpd-rs,1,25,25,0.88,43.712700000000005,0,Rust,1019,34,2957,1398,6,1,1,3.258096538021482,3.258096538021482,0.6312717768418578,3.800257577597218,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,31,3.4657359027997265
pendulum-project/ntpd-rs,2,26,26,0.2692307692307692,191.19964743589745,0,Rust,1019,34,2957,1398,7,1,2,3.295836866004329,3.295836866004329,0.2384110234449981,5.258534662173934,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,26,3.295836866004329
pendulum-project/ntpd-rs,3,20,20,0.3,69.04305555555555,0,Rust,1019,34,2957,1398,8,1,3,3.044522437723423,3.044522437723423,0.262364264467491,4.249110132330656,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,15,2.772588722239781
pendulum-project/ntpd-rs,4,16,16,0.125,100.90125,0,Rust,1019,34,2957,1398,9,1,4,2.833213344056216,2.833213344056216,0.1177830356563834,4.624004207081803,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,36,3.6109179126442243
deltav-station/delta-v,-4,131,131,2.0,293.7576611535199,1,C#,128,402,37840,843,1,0,0,4.882801922586371,4.882801922586371,1.0986122886681098,5.6861535311187765,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,163,5.099866427824199
deltav-station/delta-v,-3,218,218,2.802752293577982,369.2958588175331,1,C#,128,402,37840,843,2,0,0,5.389071729816501,5.389071729816501,1.335725092346206,5.914302304539542,4.859812404361672,5.998936561946683,10.541148449877936,6.738152494595957,216,5.37989735354046
