repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,aip_latency_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,log_aip_latency_days,prs_closed_in_bin,log_prs_closed_in_bin
chimera-linux/cports,6,101,91,0.0,191.5229120879121,1,Python,288,129,26202,1670,1399,13,1,6,4.624972813284271,4.5217885770490405,0.0,5.260215170478374,5.666426688112432,4.867534450455582,10.17362918701092,7.421177528595393,7.24422751560335,108,4.6913478822291435
pendulum-project/ntpd-rs,-6,30,30,1.0,90.06853703703703,0,Rust,1019,34,2957,1398,1265,1,0,0,3.4339872044851463,3.4339872044851463,0.6931471805599453,4.511612377291666,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,31,3.4657359027997265
pendulum-project/ntpd-rs,-5,14,14,0.5714285714285714,130.82103174603176,0,Rust,1019,34,2957,1398,1265,2,0,0,2.70805020110221,2.70805020110221,0.4519851237430572,4.881445182524848,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,8,2.1972245773362196
pendulum-project/ntpd-rs,-4,16,16,0.5625,268.58651041666667,0,Rust,1019,34,2957,1398,1265,3,0,0,2.833213344056216,2.833213344056216,0.4462871026284195,5.596889342239844,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,13,2.639057329615259
pendulum-project/ntpd-rs,-3,9,9,1.6666666666666667,367.9889197530864,0,Rust,1019,34,2957,1398,1265,4,0,0,2.302585092994046,2.302585092994046,0.9808292530117264,5.910766615820271,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,24,3.2188758248682006
pendulum-project/ntpd-rs,-2,22,22,1.0,73.6378409090909,0,Rust,1019,34,2957,1398,1265,5,0,0,3.1354942159291497,3.1354942159291497,0.6931471805599453,4.312647629393624,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,21,3.091042453358316
pendulum-project/ntpd-rs,-1,18,17,0.8333333333333334,71.00717320261437,0,Rust,1019,34,2957,1398,1265,6,0,0,2.9444389791664403,2.8903717578961645,0.6061358035703156,4.276765741867623,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,16,2.833213344056216
pendulum-project/ntpd-rs,1,25,25,0.88,43.712700000000005,0,Rust,1019,34,2957,1398,1265,8,1,1,3.258096538021482,3.258096538021482,0.6312717768418578,3.800257577597218,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,31,3.4657359027997265
pendulum-project/ntpd-rs,2,26,26,0.2692307692307692,191.19964743589745,0,Rust,1019,34,2957,1398,1265,9,1,2,3.295836866004329,3.295836866004329,0.2384110234449981,5.258534662173934,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,26,3.295836866004329
pendulum-project/ntpd-rs,3,20,20,0.3,69.04305555555555,0,Rust,1019,34,2957,1398,1265,10,1,3,3.044522437723423,3.044522437723423,0.262364264467491,4.249110132330656,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,15,2.772588722239781
pendulum-project/ntpd-rs,4,16,16,0.125,100.90125,0,Rust,1019,34,2957,1398,1265,11,1,4,2.833213344056216,2.833213344056216,0.1177830356563834,4.624004207081803,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,36,3.6109179126442243
pendulum-project/ntpd-rs,5,38,38,1.3157894736842106,118.0314692982456,0,Rust,1019,34,2957,1398,1265,12,1,5,3.6635616461296463,3.6635616461296463,0.8397506547518208,4.779387906035768,6.927557906278317,3.555348061489413,7.992268643270745,7.243512974665482,7.143617602704121,26,3.295836866004329
